ID	title	url
529	Inference in Stochastic Epidemic Models via Multinomial Approximations	http://proceedings.mlr.press/v130/whiteley21a.html
533	Stochastic Polyak Step-size for SGD: An Adaptive Learning Rate for Fast Convergence	http://proceedings.mlr.press/v130/loizou21a.html
534	SGD for Structured Nonconvex Functions: Learning Rates, Minibatching and Interpolation	http://proceedings.mlr.press/v130/gower21a.html
542	Stable ResNet	http://proceedings.mlr.press/v130/hayou21a.html
546	Latent variable modeling with random features	http://proceedings.mlr.press/v130/gundersen21a.html
547	Reaping the Benefits of Bundling under High Production Costs	http://proceedings.mlr.press/v130/ma21b.html
549	Momentum Improves Optimization on Riemannian Manifolds	http://proceedings.mlr.press/v130/alimisis21a.html
553	Quick Streaming Algorithms for Maximization of Monotone Submodular Functions in Linear Time	http://proceedings.mlr.press/v130/kuhnle21a.html
558	On Data Efficiency of Meta-learning	http://proceedings.mlr.press/v130/al-shedivat21a.html
559	Hyperparameter Transfer Learning with Adaptive Complexity	http://proceedings.mlr.press/v130/horvath21a.html
-1	Local Stochastic Gradient Descent Ascent: Convergence Analysis and Communication Efficiency	http://proceedings.mlr.press/v130/deng21a.html
562	Problem-Complexity Adaptive Model Selection for Stochastic Linear Bandits	http://proceedings.mlr.press/v130/ghosh21a.html
564	On the Minimax Optimality of the EM Algorithm for Learning Two-Component Mixed Linear Regression	http://proceedings.mlr.press/v130/kwon21b.html
568	Amortized Bayesian Prototype Meta-learning: A New Probabilistic Meta-learning Approach to Few-shot Image Classification	http://proceedings.mlr.press/v130/sun21a.html
571	Tractable contextual bandits beyond realizability	http://proceedings.mlr.press/v130/krishnamurthy21a.html
574	Learning User Preferences in Non-Stationary Environments	http://proceedings.mlr.press/v130/huleihel21a.html
575	Last iterate convergence in no-regret learning: constrained min-max optimization for convex-concave landscapes	http://proceedings.mlr.press/v130/lei21a.html
577	Efficient Statistics for Sparse Graphical Models from Truncated Samples	http://proceedings.mlr.press/v130/bhattacharyya21a.html
580	Have We Learned to Explain?: How Interpretability Methods Can Learn to Encode Predictions in their Interpretations.	http://proceedings.mlr.press/v130/jethani21a.html
583	Feedback Coding for Active Learning	http://proceedings.mlr.press/v130/canal21a.html
599	Shadow Manifold Hamiltonian Monte Carlo	http://proceedings.mlr.press/v130/heide21a.html
604	Towards Understanding the Behaviors of Optimal Deep Active Learning Algorithms	http://proceedings.mlr.press/v130/zhou21b.html
612	Identification of Matrix Joint Block Diagonalization	http://proceedings.mlr.press/v130/cai21a.html
613	Understanding Gradient Clipping In Incremental Gradient Methods	http://proceedings.mlr.press/v130/qian21a.html
615	A Variational Information Bottleneck Approach to Multi-Omics Data Integration	http://proceedings.mlr.press/v130/lee21a.html
621	On the Privacy Properties of GAN-generated Samples	http://proceedings.mlr.press/v130/lin21b.html
624	Multitask Bandit Learning Through Heterogeneous Feedback Aggregation	http://proceedings.mlr.press/v130/wang21e.html
626	Learning Complexity of Simulated Annealing	http://proceedings.mlr.press/v130/blum21a.html
628	Independent Innovation Analysis for Nonlinear Vector Autoregressive Process	http://proceedings.mlr.press/v130/morioka21a.html
629	Robust Mean Estimation on Highly Incomplete Data with Arbitrary Outliers	http://proceedings.mlr.press/v130/hu21b.html
643	Near-Optimal Provable Uniform Convergence in Offline Policy Evaluation for Reinforcement Learning	http://proceedings.mlr.press/v130/yin21a.html
647	Q-learning with Logarithmic Regret	http://proceedings.mlr.press/v130/yang21b.html
648	An Efficient Algorithm For Generalized Linear Bandit: Online Stochastic Gradient Descent and Thompson Sampling	http://proceedings.mlr.press/v130/ding21e.html
654	Communication Efficient Primal-Dual Algorithm for Nonconvex Nonsmooth Distributed Optimization	http://proceedings.mlr.press/v130/chen21c.html
657	Robust and Private Learning of Halfspaces	http://proceedings.mlr.press/v130/ghazi21a.html
658	Minimax Model Learning	http://proceedings.mlr.press/v130/voloshin21a.html
660	On the Faster Alternating Least-Squares for CCA	http://proceedings.mlr.press/v130/xu21d.html
663	Exploiting Equality Constraints in Causal Inference	http://proceedings.mlr.press/v130/zhang21c.html
664	Collaborative Classification from Noisy Labels	http://proceedings.mlr.press/v130/maystre21a.html
669	Fenchel-Young Losses with Skewed Entropies for Class-posterior Probability Estimation	http://proceedings.mlr.press/v130/bao21b.html
681	Maximizing Agreements for Ranking, Clustering and Hierarchical Clustering via MAX-CUT	http://proceedings.mlr.press/v130/chatziafratis21a.html
684	Why did the distribution change?	http://proceedings.mlr.press/v130/budhathoki21a.html
688	Non-Volume Preserving Hamiltonian Monte Carlo and No-U-TurnSamplers	http://proceedings.mlr.press/v130/afshar21a.html
689	Iterative regularization for convex regularizers	http://proceedings.mlr.press/v130/molinari21a.html
690	Competing AI: How does competition feedback affect machine learning?	http://proceedings.mlr.press/v130/ginart21a.html
698	Stability and Risk Bounds of Iterative Hard Thresholding	http://proceedings.mlr.press/v130/yuan21a.html
699	Novel Change of Measure Inequalities with Applications to PAC-Bayesian Bounds  and Monte Carlo Estimation	http://proceedings.mlr.press/v130/ohnishi21a.html
703	On the Convergence of Gradient Descent in GANs:  MMD GAN As a Gradient Flow	http://proceedings.mlr.press/v130/mroueh21a.html
707	Wasserstein Random Forests and Applications in Heterogeneous Treatment Effects	http://proceedings.mlr.press/v130/du21a.html
716	Improved Complexity Bounds in Wasserstein Barycenter Problem	http://proceedings.mlr.press/v130/dvinskikh21a.html
724	Sparse Algorithms for Markovian Gaussian Processes	http://proceedings.mlr.press/v130/wilkinson21a.html
726	Generating Interpretable Counterfactual Explanations By Implicit Minimisation of Epistemic and Aleatoric Uncertainties	http://proceedings.mlr.press/v130/schut21a.html
729	Deep Neural Networks Are Congestion Games: From Loss Landscape to Wardrop Equilibrium and Beyond	http://proceedings.mlr.press/v130/vesseron21a.html
731	All of the Fairness for Edge Prediction with Optimal Transport	http://proceedings.mlr.press/v130/laclau21a.html
733	γ-ABC: Outlier-Robust Approximate Bayesian Computation Based on a Robust Divergence Estimator	http://proceedings.mlr.press/v130/fujisawa21a.html
734	Understanding and Mitigating Exploding Inverses in Invertible Neural Networks	http://proceedings.mlr.press/v130/behrmann21a.html
736	Online probabilistic label trees	http://proceedings.mlr.press/v130/wydmuch21a.html
739	Nonparametric Estimation of Heterogeneous Treatment Effects: From Theory to Learning Algorithms	http://proceedings.mlr.press/v130/curth21a.html
740	DP-MERF: Differentially Private Mean Embeddings with RandomFeatures for Practical Privacy-preserving Data Generation	http://proceedings.mlr.press/v130/harder21a.html
746	Fork or Fail: Cycle-Consistent Training with Many-to-One Mappings	http://proceedings.mlr.press/v130/guo21b.html
747	Sparse Gaussian Processes Revisited: Bayesian Approaches to Inducing-Variable Approximations	http://proceedings.mlr.press/v130/rossi21a.html
753	Free-rider Attacks on Model Aggregation in Federated Learning	http://proceedings.mlr.press/v130/fraboni21a.html
756	Reinforcement Learning in Parametric MDPs with Exponential Families	http://proceedings.mlr.press/v130/chowdhury21b.html
758	Thresholded Adaptive Validation: Tuning the Graphical Lasso for Graph Recovery	http://proceedings.mlr.press/v130/laszkiewicz21a.html
759	No-regret Algorithms for Multi-task Bayesian Optimization	http://proceedings.mlr.press/v130/chowdhury21c.html
773	Explicit Regularization of Stochastic Gradient Methods through Duality	http://proceedings.mlr.press/v130/raj21a.html
776	Noisy Gradient Descent Converges to Flat Minima for Nonconvex Matrix Factorization	http://proceedings.mlr.press/v130/liu21e.html
780	CONTRA: Contrarian statistics for controlled variable selection	http://proceedings.mlr.press/v130/sudarshan21a.html
783	Approximately Solving Mean Field Games via Entropy-Regularized Deep Reinforcement Learning	http://proceedings.mlr.press/v130/cui21a.html
788	Moment-Based Variational Inference for Stochastic Differential Equations	http://proceedings.mlr.press/v130/wildner21a.html
795	PClean: Bayesian Data Cleaning at Scale with Domain-Specific Probabilistic Programming	http://proceedings.mlr.press/v130/lew21a.html
796	Adaptive wavelet pooling for convolutional neural networks	http://proceedings.mlr.press/v130/wolter21a.html
799	The Minecraft Kernel: Modelling correlated Gaussian Processes in the Fourier domain	http://proceedings.mlr.press/v130/simpson21a.html
808	Exponential Convergence Rates of Classification Errors on Learning with SGD and Random Features	http://proceedings.mlr.press/v130/yashima21a.html
811	High-Dimensional Multi-Task Averaging and Application to Kernel Mean Embedding	http://proceedings.mlr.press/v130/marienwald21a.html
816	Counterfactual Representation Learning with Balancing Weights	http://proceedings.mlr.press/v130/assaad21a.html
821	Gradient Descent in RKHS with Importance Labeling	http://proceedings.mlr.press/v130/murata21a.html
823	Learning with Gradient Descent and Weakly Convex Losses	http://proceedings.mlr.press/v130/richards21a.html
835	Off-policy Evaluation in Infinite-Horizon Reinforcement Learning with Latent Confounders	http://proceedings.mlr.press/v130/bennett21a.html
865	Approximate Data Deletion from Machine Learning Models	http://proceedings.mlr.press/v130/izzo21a.html
867	Budgeted and Non-Budgeted Causal Bandits	http://proceedings.mlr.press/v130/nair21a.html
869	Stability and Differential Privacy of Stochastic Gradient Descent for Pairwise Learning with Non-Smooth Loss	http://proceedings.mlr.press/v130/yang21c.html
872	Equitable and Optimal Transport with Multiple Agents	http://proceedings.mlr.press/v130/scetbon21a.html
875	A Variational Inference Approach to Learning Multivariate Wold Processes	http://proceedings.mlr.press/v130/etesami21a.html
876	Active Online Learning with Hidden Shifting Domains	http://proceedings.mlr.press/v130/chen21d.html
880	No-Regret Algorithms for Private Gaussian Process Bandit Optimization	http://proceedings.mlr.press/v130/dubey21a.html
884	The Teaching Dimension of Kernel Perceptron	http://proceedings.mlr.press/v130/kumar21a.html
885	Quantum Tensor Networks, Stochastic Processes, and Weighted Automata	http://proceedings.mlr.press/v130/adhikary21a.html
889	Localizing Changes in High-Dimensional Regression Models	http://proceedings.mlr.press/v130/rinaldo21a.html
891	On the Suboptimality of Negative Momentum for Minimax Optimization	http://proceedings.mlr.press/v130/zhang21d.html
892	Neural Empirical Bayes: Source Distribution Estimation and its Applications to Simulation-Based Inference	http://proceedings.mlr.press/v130/vandegar21a.html
893	Corralling Stochastic Bandit Algorithms	http://proceedings.mlr.press/v130/arora21a.html
897	Context-Specific Likelihood Weighting	http://proceedings.mlr.press/v130/kumar21b.html
898	Learning Matching Representations for Individualized Organ Transplantation Allocation	http://proceedings.mlr.press/v130/xu21e.html
900	Stochastic Gradient Descent Meets Distribution Regression	http://proceedings.mlr.press/v130/muecke21a.html
904	Learning Contact Dynamics using Physically Structured Neural Networks	http://proceedings.mlr.press/v130/hochlehnert21a.html
908	Misspecification in Prediction Problems and Robustness via Improper Learning	http://proceedings.mlr.press/v130/marsden21a.html
915	Rate-improved inexact augmented Lagrangian method for constrained nonconvex optimization	http://proceedings.mlr.press/v130/li21d.html
918	Selective Classification via One-Sided Prediction	http://proceedings.mlr.press/v130/gangrade21a.html
920	Distributionally Robust Optimization for Deep Kernel Multiple Instance Learning	http://proceedings.mlr.press/v130/sapkota21a.html
923	vqSGD: Vector Quantized Stochastic Gradient Descent	http://proceedings.mlr.press/v130/gandikota21a.html
926	Smooth Bandit Optimization: Generalization to Holder Space	http://proceedings.mlr.press/v130/liu21f.html
927	List Learning with Attribute Noise	http://proceedings.mlr.press/v130/cheraghchi21a.html
940	High-Dimensional Feature Selection for Sample Efficient Treatment Effect Estimation	http://proceedings.mlr.press/v130/greenewald21a.html
942	Fractional moment-preserving initialization schemes for training deep neural networks	http://proceedings.mlr.press/v130/gurbuzbalaban21a.html
943	Inductive Mutual Information Estimation: A Convex Maximum-Entropy Copula Approach	http://proceedings.mlr.press/v130/samo21a.html
946	Federated f-Differential Privacy	http://proceedings.mlr.press/v130/zheng21a.html
950	Clustering multilayer graphs with missing nodes	http://proceedings.mlr.press/v130/braun21a.html
-1	Implicit Regularization via Neural Feature Alignment	http://proceedings.mlr.press/v130/baratin21a.html
954	Aggregating Incomplete and Noisy Rankings	http://proceedings.mlr.press/v130/fotakis21a.html
956	Quantifying the Privacy Risks of Learning High-Dimensional Graphical Models	http://proceedings.mlr.press/v130/murakonda21a.html
962	Optimal query complexity for private sequential learning against eavesdropping	http://proceedings.mlr.press/v130/xu21f.html
975	Mirrorless Mirror Descent: A Natural Derivation of Mirror Descent	http://proceedings.mlr.press/v130/gunasekar21a.html
977	Differentiable Causal Discovery Under Unmeasured Confounding	http://proceedings.mlr.press/v130/bhattacharya21a.html
987	The Sample Complexity of Meta Sparse Regression	http://proceedings.mlr.press/v130/wang21f.html
996	A Theory of Multiple-Source Adaptation with Limited Target Labeled Data	http://proceedings.mlr.press/v130/mansour21a.html
998	Group testing for connected communities	http://proceedings.mlr.press/v130/nikolopoulos21a.html
1000	Federated Learning with Compression: Unified Analysis and Sharp Guarantees	http://proceedings.mlr.press/v130/haddadpour21a.html
1001	Variational Autoencoder with Learned Latent Structure	http://proceedings.mlr.press/v130/connor21a.html
